Pasal,Isi Pasal
Pasal 153E,"Ayat (1)
Yang dimaksud dengan ""orang perseorangan"" adalah
orang yang cakap melakukan perbuatan hukum
sebagaimana diatur dalam Kitab Undang-Undang
Hukum Perdata.
Ayat (2)
Cukup jelas."
Pasal 153G,Cukup jelas.
Pasal 153H,Cukup jelas.
Pasal 153I,"(1) Perseroan untuk usaha mikro dan kecil diberikan
keringanan biaya terkait pendirian badan hukum.
(21 Ketentuan lebih lanjut mengenai keringanan biaya
Perseroan untuk usaha mikro dan kecil
sebagaimana dimaksud pada ayat (1) diatur sesuai
dengan ketentuan peraturan perundang-undangan
di bidang penerimaan negara bukan pajak."
Pasal 153J,Cukup jelas.
Pasal 110,Dihapus.
Pasal 111...,"SK No 137243 A
PRESIDEN
ELIK INDONESIA
-623-"
"Pasal 26(1) Atas penghasilan tersebut di bawah ini, dengan namadan dalam bentuk apa pun, yang dibayarkan,","disediakan untuk dibayarkan, atau telah jatuh tempo
pembayarannya oleh badan pemerintah, subjek pajak
dalam negeri, penyelenggara kegiatan, bentuk usaha
tetap, atau perwakilan perusahaan luar negeri lainnya
kepada Wajib Pajak luar negeri selain bentuk usaha
tetap di Indonesia dipotong pajak sebesar 2Oo/o (dua
puluh persen) dari jumlah bruto oleh pihak yang wajib
membayarkan:a. dividen;b. bunga termasuk premium, diskonto, dan imbalan
sehubungan dengan jaminan pengembalian utang;c. royalti, sewa, dan penghasilan lain sehubungan
dengan penggunaan harta;d. imbalan sehubungan dengan jasa, pekerjaan, dan
kegiatan;
e. hadiah dan penghargaan;
f. pensiun dan pembayaran berkala lainnya;g. premi swap dan transaksi lindung nilai lainnya;
dan/atau
h. keuntungan karena pembebasan utang.
(1a) Negara domisili dari Wajib Pajak luar negeri selain yang
menjalankan usaha atau melakukan kegiatan usaha
melalui bentuk usaha tetap di Indonesia sebagaimana
dimaksud pada ayat (1) adalah negara tempat tinggal
atau tempat kedudukan Wajib Pajak luar negeri yang
sebenarnya menerima manfaat dari penghasilan
tersebut (beneficial owner).
(1b) Tarif...
SK No 137247A
PRESIDEN
REPUILIK INDONESIA
-627 -
(1b) Tarif sebesar 2OVo (d.ua puluh persen) dari jumlah
bruto oleh pihak yang wajib membayarkan bunga
termasuk premium, diskonto, dan imbalan
sehubungan dengan jaminan pengembalian utang
sebagaimana dimaksud pada ayat (1) huruf b dapat
diturunkan dengan Peraturan Pemerintah.
(21 Atas penghasilan dari penjualan atau pengalihan
harta di Indonesia, kecuali yang diatur dalam Pasal
4 ayat (21, yang diterima atau diperoleh Wajib Pajak
luar negeri selain bentuk usaha tetap di Indonesia,
dan premi asuransi yang dibayarkan kepada
perusahaan asuransi luar negeri dipotong pajak
2Oo/o (dua puluh persen) dari perkiraan
penghasilan neto.
(2a) Atas penghasilan dari penjualan atau pengalihan
saham sebagaimana dimaksud dalam Pasal 18
ayat (3c) dipotong pajak sebesar 2O% (dua puluh
persen) dari perkiraan penghasilan neto.
(3) Pelaksanaan ketentuan sebagaimana dimaksud
pada ayat (2) dan ayat (2al diatur dengan atau
berdasarkan Peraturan Menteri Keuangan.
(4) Penghasilan Kena Pajak sesudah dikurangi pajak
dari suatu bentuk usaha tetap di Indonesia dikenai
pajak sebesar 2oo/o (dtua puluh persen), kecuali
penghasilan tersebut ditanamkan kembali di
Indonesia, yang ketentuannya diatur lebih lanjut
dengan atau berdasarkan Peraturan Menteri
Keuangan.
(5) Pemotongan pajak sebagaimana dimaksud pada
ayat (1), ayat (21, ayat (2a1, dan ayat (4) bersiflat
final, kecuali:
a. pemotongan atas penghasilan sebagaimana
dimaksud dalam Pasal 5 ayat (1) huruf b dan
huruf c; dan
b. pemotongan atas penghasilan yang diterima
atau diperoleh orang pribadi atau badan luar
negeri yang berubah status menjadi Wajib
Pajak dalam negeri atau bentuk usaha tetap.
SK No 097214 APasal 112. . .
PRESIDEN
BLIK INOONESIA
-624-
1Pasal 112
Beberapa ketentuan dalam Undang-Undang Nomor 8 Tahun
1983 tentang Pajak Pertambahan Nilai Barang dan Jasa dan
Pajak Penjualan atas Barang Mewah (Lembaran Negara
Republik Indonesia Tahun 1983 Nomor 51, Tambahan
Lembaran Negara Republik Indonesia Nomor 3264l,
sebagaimana telah beberapa kali diubah terakhir dengan
Undang-Undang Nomor 7 Tahun 2O2l lentang Harmonisasi
Peraturan Perpajakan (Lembaran Negara Republik Indonesia
Tahun 2O21 Nomor 246, Tambahan Lembaran Negara
Republik Indonesia Nomor 6736) diubah sebagai berikut:
Ketentuan Pasal 1A diubah sehingga berbunyi sebagai
berikut:"
Pasal 1A,"Ayat (1)
Huruf a
Huruf b
Huruf cYang dimaksud dengan ""perjanjian"" meliputi jual
beli, tukar-menukar, jual beli dengan angsuran,atau perjanjian lain yang mengakibatkan
penyerahan hak atas barang.
Penyerahan Barang Kena Pajak dapat terjadi
karena perjanjian sewa beli dan/ atau perjanjian
sewa guna usaha (leasing)
Yang dimalsud dengan upengalihan Barang Kena
Pajak karena suatu perjanjian sewa guna usaha
(leasing)"" adalah penyerahan Barang Kena Pajak
yang disebabkan oleh perjanjian sewa guna usaha
(leasing) dengan hak opsi.
Da1am hal penyerahan Barang Kena Pajak oleh
Pengusaha Kena Pajak dalam rangka perjanjian
sewa guna us aha (leasingl dengan hak opsi, Barang
Kena Pajak dianggap diserahkan langsung dari
Pengusaha Kena Pajak pemasok (supplier) kepada
pihak yang membutuhkan barang (lessee).
Yang dimaksud dengan ""pedagang perantara""
adalah orang pribadi atau badan yang dalam
kegiatan usaha atau pekerjaannya dengan nama
sendiri melakukan perjanjian atau perikatan atasdan untuk tanggungan or€rng lain dengan
mendapat upah atau balas jasa tertentu, misalnya
komisioner.
Yang dimaksud dengan ""juru lelang"" adalah juru
lelang pemerintah atau yang ditunjuk oleh
pemerintah.
SK No 096567 AHuruf d . . .
PRESIDEN
REPUBLIK INDONESIA
-320-
Huruf d
Yang dimaksud dengan ""pemakaian sendiri"" adalah
pemakaian untuk kepentingan pengusaha sendiri,
pengurus, atau kar5iawan, baik barang produksi
sendiri maupun bukan produksi sendiri.
Yang dimaksud dengan ""pemberian cuma-cuma""
adalah pemberian yang diberikan tanpa
pembayaran baik barang produksi sendiri maupun
bukan produksi sendiri, seperti pemberian contoh
barang untuk promosi kepada relasi atau pembeli.
Huruf e
Barang Kena Pajak berupa persediaan dan/ atau
aktiva yang menurut tujuan semula tidak untuk
diperjualbelikan, yang masih tersisa pada saat
pembubaran perusahaan, disamakan dengan
pemakaian sendiri sehingga dianggap sebagai
penyerahan Barang Kena Pajak.
Dikecualikan dari ketentuan pada huruf e ini
adalah penyerahan sebagaimana dimaksud dalam"
Pasal 9 ayat (8) huruf b.,"Ketentuan Pasal 13 diubah sehingga berbunyi sebagai
berikut:"
Pasal 13. . -,"SK No 137250A
PRESIDEN
REPUBLIK INOONESIA
-630-"
"Pasal 17, Pasal 178, Pasal 17C, atau Pasal 17D","dikembalikan dengan ketentuan bahwa apabila
ternyata Wajib Pajak mempunyai utang pajak,
langsung diperhitungkan untuk melunasi terlebih
dahulu utang pajak tersebut.
(1a) Kelebihan pembayaran pajak sebagai akibat
adanya Surat Keputusan Keberatan, Surat
Keputusan Pembetulan, Surat Keputusan
Pengurangan Sanksi Administrasi, Surat
Keputusan Penghapusan Sanksi Administrasi,
Surat Keputusan Pengurangan Ketetapan Pajak,
Surat Keputusan Pembatalan Ketetapan Pajak, dan
Putusan Banding atau Putusan Peninjauan
Kembali, serta Surat Keputusan Pemberian
Imbalan Bunga dikembalikan kepada Wajib Pajak
dengan ketentuan jika ternyata Wajib Pajak
mempunyai utang pajak langsung diperhitungkan
untuk melunasi terlebih dahulu utang pajak
tersebut.
SK No 137255 A(2) Pengembalian...
PRESIDEN
REPUBLIK INDONESIA
-635-
(21 Pengembalian kelebihan pembayaran pajak
sslagaiman4 dimaksud pada ayat (1) dan ayat (la)
dilakukan paling lama 1 (satu) bulan sejak
permohonan pengembalian kelebihan pembayaran
pajak diterima sehubungan dengan diterbitkannya
Surat Ketetapan Pajak Lebih Bayar sebagaimana
dimaksud dalam Pasal 17 ayat (1), atau sejak
diterbitkannya Surat Ketetapan Pajak Lebih Bayar
sebagaimana dimaksud dalam Pasal 17 ayat (2) dan
Pasal l7B, atau sejak diterbitkannya Surat
Keputusan Pengembalian Pendahuluan Kelebihan
Pajak sebagaimana dimaksud dalam Pasal 17C
atau Pasal 17D, atau sejak diterbitkannya SuratKeputusan Keberatan, Surat Keputusan
Pembetulan, Surat Keputusan PenguranganSanksi Administrasi, Surat Keputusan
Penghapusan Sanksi Administrasi, Surat
Keputusan Pengurangan Ketetapan Pajak, Surat
Keputusan Pembatalan Ketetapan Pajak atau Surat
Keputusan Pemberian Imbalan Bunga, atau sejak
diterimanya Putusan Banding atau Putusan
Peninjauan Kembali yang menyebabkan kelebihan
pembayaran pajak.
(3) Apabila pengembalian kelebihan pembayaran
pajak dilakukan setelah jangka waktu 1 (satu)
bu1an, Pemerintah memberikan imbalan bunga
sebesar tarif bunga per bulan yang ditetapkan olehMenteri Keuangan atas keterlambatan
pengembalian kelebihan pembayaran pajak
dihitung sejak batas waktu penerbitan Surat
Keputusan Pengembalian Kelebihan Pembayaran
Pajak berakhir sampai dengan saat dilakukan
pengembalian kelebihan dan diberikan paling lama
24 (dtua puluh empat) bulan, serta bagian dari
bulan dihitung penuh 1 (satu) bulan.
(3a) Tarif bunga per bulan yang ditetapkan oleh Menteri
Keuangan sebagaimana dimaksud pada ayat (3)
dihitung berdasarkan suku bunga acuan dibagi 12
(dua belas) yang berlaku pada tanggal dimulainya
penghitungan imbalan bunga.
(4) Tata . . .
SK No 137256A
PRESIDEN
REPUBLIK INDONESIA
3
4-636-
(41 Tata cara penghitungan dan pengembalian
kelebihan pembayaran pajak diatur dengan atau
berdasarkan Peraturan Menteri Keuangan."
Pasal 13A dihapus.,"Ketentuan Pasal 15 diubah sehingga berbunyi sebagai
berikut:"
Pasal 178. . .,"SK No 137257 A
PRESIOEN
REPUBLIK
'NDONESIA
-637 -"
Pasal 17B,"Ayat (l)
Ayat (1a)
Ayat (21
Ayat (3)Yang dimaksud dengan ""surat permohonan telah
diterima secara lengkap"" adalah Surat Pemberitahuan
yang telah diisi lengkap sebagaimana dimaksud dalam"
Pasal 8 ayat (3); atau,"b. dilanjutkan dengan penyidikan, tetapi tidak
dilanjutkan dengan penuntutan tindak pidana
di bidang perpajakan karena dilakukan
penghentian penyidikan tindak pidana di
bidang perpajakan sebagaimana dimaksud
dalam Pasal 44B.
(6) Imbalan bunga sebagaimana dimaksud pada ayat
(3) dan ayat (4) diberikan paling lama 24 (dua puluh
empat) bulan, serta bagian dari bulan dihitung
penuh 1 (satu) bulan.
(71 Tarif bunga per bulan yang ditetapkan oleh Menteri
Keuangan sebagaimana dimaksud pada ayat (3)
dan ayat (4) dihitung berdasarkan suku bunga
acuan dibagi 12 (dua belas) yang berlaku pada
tanggal dimulainya penghitungan imbalan bunga.
SK No 137259A6. Ketentuan . . .
6PRESIDEN
REPIIELIK INDONESIA
-639-
Ketentuan Pasal 19 diubah sehingga berbunyi sebagai
berikut:"
Pasal 27A dihapus.,"Di antara Pasal 27A dan Pasal 28 disisipkan I (satu)
pasal, yakni Pasal 27B sehingga berbunyi sebagai
berikut:"
Pasal 278,"(1) Wajib Pajak diberikan imbalan bunga dalam hal
pengajuan keberatan, permohonan banding, atau
permohonan peninjauan kembali yang dikabulkan
sebagian atau seluruhnya sehingga menyebabkan
kelebihan pembayaran pajak.
(21 Imbalan bunga sebagaimana dimaksud pada ayat
(1) diberikan terhadap kelebihan pembayaran
pajak paling banyak sebesar jumlah lebih bayar
yang disetujui Wajib Pajak dalam pembahasan
akhir hasil pemeriksaan atas Surat Pemberitahuanyang menyatakan lebih bayar yang telah
diterbitkan:
a. Surat Ketetapan Pajak Kurang Bayar;
b. Surat Ketetapan Pajak Kurang Bayar
Tambahan;
c. Surat Ketetapan Pajak kbih Bayar; atau
d. Surat Ketetapan Pajak Nihil.
(3) Wajib Pajak diberikan imbalan bunga sebagaimana
dimaksud pada ayat (2) dalam hal permohonan
pembetulan, permohonan pengurangan atau
pembatalan surat ketetapan pajak, atau
permohonan pengurangan atau pembatalan Surat
Tagihan Pajak yang dikabulkan sebagian atau
seluruhnya sehingga menyebabkan kelebihan
pembayaran pajak.
SK No 137261 A(4) Imbalan . . .
PRESIDEN
REPUBLIK INDONESIA
-64L-
(4) Imbalan bunga sebagaimana dimaksud pada ayat
(1) dan ayat (3) diberikan:
a. berdasarkan tarif bunga per bulan yang
ditetapkan oleh Menteri Keuangan
berdasarkan suku bunga acuan dibagi 12 (dua
belas); dan
b. diberikan paling lama 24 (dua puluh empat)
bulan, serta bagian dari bulan dihitung penuh
I (satu) bulan.
(5) Tarif bunga per bulan sebagaimana dimaksud pada
ayat (4) yang digunakan sebagai dasar
penghitungan imbalan bunga adalah tarif bunga
per bulan yang berlaku pada tanggal dimulainya
penghitungan imbalan bunga.
(6) Imbalan bunga sebagaimana dimaksud pada ayat(1) dihitung sejak tanggal penerbitan Surat
Ketetapan Pajak Kurang Bayar, Surat Ketetapan
Pajak Kurang Bayar Tambahan, Surat Ketetapan
Pajak Lebih Bayar, atau Surat Ketetapan Pajak
Nihil sampai dengan tanggal diterbitkannya Surat
Keputusan Keberatan, Putusan Banding, atau
Putusan Peninjauan Kembali.
(71 Imbalan bunga sebagaimana dimaksud pada ayat
(3) dihitung:
a. sejak tanggal pembayaran Surat Ketetapan
Pajak Kurang Bayar atau Surat Ketetapan
Pajak Kurang Bayar Tambahan sampai
dengan tanggal diterbitkannya Surat
Keputusan Pembetulan, Surat Keputusan
Pengurangan Ketetapan Pajak, atau Surat
Keputusan Pembatalan Ketetapan Pajak;
b. sejak tanggal penerbitan Surat Ketetapan
Pajak L,ebih Bayar atau Surat Ketetapan Pajak
Nihil sampai dengan tanggal diterbitkannyaSurat Keputusan Pembetulan, Surat
Keputusan Pengurangan Ketetapan Pajak,
atau Surat Keputusan Pembatalan Ketetapan
Pajak; atau
c. sejak . . .
SK No 137262 A
9l,RESIDEN
REPIJELIK INDONESIA
-642-
c. sejak tanggal pembayaran Surat Tagihan
Pajak sampai dengan tanggal diterbitkannyaSurat Keputusan Pembetulan, Surat
Keputusan Pengurangan Ketetapan Pajak,
atau Surat Keputusan Pembatalan Ketetapan
Pajak.
(8) Ketentuan lebih lanjut mengenai tata cara
pemberian imbalan bunga diatur dengan atau
berdasarkan Peraturan Menteri Keuangan.
Ketentuan Pasal 38 diubah sehingga berbunyi sebagai
berikut:"
"Pasal 37..,","SK No 137267 A
3PRESIDEN
REPUBLIK INDONESIA
-647 -"
Pasal 38A,"Cukup jelas.
Angka 31"
Pasal 45(1) Pengadilan Niaga harus memeriksa keberatan,"Pelaku Usaha sebagaimana dimaksud dalam Pasal
44 ayal (2) dalam waktu 14 (empat belas) hari sejak
diterimanya keberatan tersebut.
(21 Pihak yang keberatan terhadap putusan
Pengadilan Niaga sebagaimana dimaksud pada
ayat (1) dalam waktu 14 (empat belas) hari dapat
mengajukan kasasi kepada Mahkamah Agung
Republik Indonesia.(3) Ketentuan mengenai tata cara pemeriksaan di
Pengadilan Niaga dan Mahkamah Agung Republik
Indonesia dilaksanakan sesuai dengan ketentuan
peraturan perundang-undangan.
Ketentuan Pasal 46 diubah sehingga berbunyi sebagai
berikut:"
"Pasal 46(1) Apabila tidak terdapat keberatan, putusan Komisi","sebagaimana dimaksud dalam Pasal 43 ayat (3),
telah mempunyai kekuatan hukum yang tetap.
(21 Putusan Komisi sebagaimana dimaksud pada ayat(1) dimintakan penetapan eksekusi kepada
Pengadilan Niaga.
Ketentuan Pasal 47 diubah sehingga berbunyi sebagai
berikut:"
Pasal 47(1) Komisi berwenang menjatuhkan sanksi berupa,"tindakan administratif terhadap Pelaku Usaha
yang melanggar ketentuan Undang-Undang ini.
(21 Tindakan administratif sebagaimana dimaksud
pada ayat (1) dapat berupa:
a. penetapan . . .3
4
SK No 137274A
PRESIDEN
REPUBLIK INDONESIA
-654-
5a. penetapan pembatalan perjanjian
sebagaimana dimaksud dalam Pasal 4, Pasal
5, Pasal 6, Pasal 7, Pasal 8, Pasal 9, Pasal 10,"
Pasal 16;,"b. perintah kepada Pelaku Usaha untuk
menghentikan integrasi vertikal sebagaimana
dimaksud dalam Pasal 14;
c. perintah kepada Pelaku Usaha untuk
menghentikan kegiatan yang terbuktimenimbulkan praktik monopoli,
menyebabkan Persaingan Usaha Tidak Sehat,dan/atau merugikan masyarakat
sebagaimana dimaksud dalam Pasal 17, Pasal
18, Pasal 19, Pasal 2O, Pasa1 21, Pasal 22,"
"Pasal 23, Pasd24, Pasal 26, danPasa)27;","d. perintah kepada Pelaku Usaha untuk
menghentikan penyalahgunaan Posisi
Dominan sebagaimana dimaksud dalam Pasal
25;
e. penetapan pembatalan atas penggabunganatau peleburan badan usaha danpengambilalihan saham sebagaimana
dimaksud dalam Pasal 28;
f. penetapan pembayaran ganti rugi; dan/atau
g. pengenaan denda paling sedikit
Rp 1.0O0.000.000,00 (satu miliar rupiah).
(3) Ketentuan lebih lanjut mengenai kriteria, jenis,
besaran denda, dan tata cara pengenaan sanksi
sebagaimana dimaksud pada ayat (1) dan ayat (21
diatur dengan Peraturan Pemerintah.
Ketentuan Pasal 48 diubah sehingga berbunyi sebagai
berikut:"
Pasal 48...,"SK No 137275 A
PRESIDEN
REPUBLIK INDONESIA
-655-"
Pasal 120,"Angka 1
Cukup jelas.
Angka 2"
Pasal 121,"Ketentuan Pasal 48 dalam Undang-Undang Nomor 11 Tahun
2019 tentang Sistem Nasional Ilmu Pengetahuan dan
Teknologi (Lembaran Negara Republik Indonesia Tahun 2Ol9
Nomor 148, Tambahan Lembaran Negara Republik Indonesia
Nomor 6374) diubah sebagai berikut:"
Pasal 19A,Cukup jelas.
Pasal 19B,"Cukup jelas.
Pasa1 19C
Cukup jelas.
Angka 6"
Pasal 19C,"Setelah penetapan lokasi Pengadaan Tanah dilakukan,
tidak diperlukan lagi persyaratan:
a. kesesuaian kegiatan pemanfaatan ruang;
b. pertimbanganteknis;
c. di luar kawasan hutan dan di luar kawasan
pertambangan;
d. di luar kawasan gambut/ sempadan pantai; dan
e. analisis mengenai dampak lingkungan hidup.
Ketentuan Pasal 24 diubah sehingga berbunyi sebagai
berikut:"
Pasal 19 ayat (6) atau Pasal 22 ayat (1) diberikan,"untuk jangka waktu 3 (tiga) tahun dan dapat
diperpanjang 1 (satu) kali untuk jangka waktu 1
(satu) tahun.
(21 Permohonan perpanjangan waktu penetapan lokasi
disampaikan paling singkat 6 (enam) bulan
sebelum masa berlaku penetapan lokasi berakhir.
Ketentuan Pasal 28 diubah sehingga berbunyi sebagai
berikut:7"
Pasal 28...,"SK No 137285A
8PRESIDEN
REPUELIK INDONESIA
-665-"
Pasal 12o,"(1) Badan bank tanah menjamin ketersediaan tanah dalam
rangka ekonomi berkeadilan untuk:
a. kepentingan umum;
b. kepentingan sosial;
SK No 137291 Ac. kepentingan . . .
PRESIDEN
REPUELIK INDONESIA
-671-
c. kepentinganpembangunannasional;
d. pemerataan ekonomi;
e. konsolidasi lahan; dan
f. reforma agraria.
(21 Ketersediaan tanah untuk reforma agraria sebagaimana
dimaksud pada ayat (1) huruf f paling sedikit 30% (tiga
puluh persen) dari tanah negara yang diperuntukkan
badan bank tanah."
Pasal 131,Cukup jelas.
Pasal 132,"Cukup jelas.
SK No097176APasal 133. . .
PRESIOEN
REPUBLIK INDONESIA
-352-"
Pasal 136,Cukup jelas.
Pasal 137 . . .,"SK No 137294A
PRESIDEN
REPUBLIK TNDONESIA
-674-"
Pasal 137 ayat (2) huruf b dilakukan dengan perjanjian,"pemanfaatan tanah.
(2) Di atas . . .
SK No 137295 A
PRESIDEN
REPUELIK INDONESIA
-675-
(21 Di atas tanah hak pengelolaan yang pemanfaatannya
diserahkan kepada pihak ketiga baik sebagian atau
seluruhnya, dapat diberikan hak guna usaha, hak guna
bangunan, dan/atau hak pakai sesuai dengan
ketentuan peraturan perundang-undangan.
(3) Jangka waktu hak guna bangunan di atas hak
pengelolaan sebagaimana dimaksud pada ayat (2) dapat
diberikan perpanjangan dan pembaruan hak apabila
sudah digunakan dan/ atau dimanfaatkan sesuai
dengan tu.iuan pemberian haknya.
(4) Pemerintah Pusat melakukan pengawasan dan
pengendalian atas penggunaan dan/ atau pemanfaatan
tanah di atas hak pengelolaan sebagaimana dimaksud
pada ayat (3) sesuai dengan ketentuan peraturan
perundang-undangan.
(5) Dalam hal hak atas tanah yang berada di atas hak
pengelolaan telah berakhir, tanahnya kembali menjadi
tanah hak pengelolaan."
Pasal 143,Cukup jelas.
Pasal 144,"Ayat (1)
Huruf a
Cukup jelas.
Huruf b
Cukup jelas.
Huruf c
Kepemilikan satuan rumah susun oleh warga negara asing
hanya diberikan di Kawasan Ekonomi Khusus, Kawasan
Perdagangan Bebas dan Pelabuhan Bebas, Kawasan
Industri, dan kawasan ekonomi lainnya.
Huruf d
Kepemilikan satuan rumah susun oleh badan hukum asing
hanya diberikan di Kawasan Ekonomi Khusus, Kawasan
Perdagangan Bebas dan Pelabuhan Bebas, Kawasan
Industri, dan kawasan ekonomi lainnya.
Huruf e
Cukup jelas.
Ayat (2)
Cukup jelas.
Ayat (3)
Cukup jelas."
Pasal 145,Cukup jelas.
Pasal 146,Cukup jelas.
Pasal 147,Cukup jelas.
Pasal 148,Cukup jelas.
Pasal 149,"Cukup jelas.
Pasal l5O
Angka 1
Pasal I
Cukup jelas.
Angka 2"
Pasal 1 .. .,"SK No 137300A
PRESIDEN
REPUBLIK INDONESIA
-680-
2Pasal 1
Dalam Undang-Undang ini yang dimaksud dengan:
1. Kawasan Ekonomi Khusus yang selanjutnya
disebut KEK adalah kawasan dengan batas
tertentu dalam wilayah hukum Negara Kesatuan
Republik Indonesia yang ditetapkan untuk
menyelenggarakan fungsi perekonomian dan
memperoleh fasilitas tertentu.
2. Zona adalah area di dalam KEK dengan batas
tertentu yang pemanfaatannya sesuai dengan
peruntukannya.
3. Dewan Nasional adalah dewan yang dibentuk di
tingkat nasional untuk menyelenggarakan KEK.
4. Dewan Kawasan adalah dewan yang dibentuk di
tingkat provinsi atau lebih dari satu provinsi,
untuk membantu Dewan Nasional dalam
penyelenggaraan KEK.
5. Administrator adalah unit kerja yang bertugas
menyelenggarakan Perizinan Berusaha, perizinarr
lainnya, pelayanan, dan pengawasan di KEK.
6. Badan Usaha adalah badan usaha yang
menyelenggarakan kegiatan usaha KEK.
7. Pelaku Usaha adalah pelaku usaha yang
menjalankan kegiatan usaha di KEK.
Ketentuan Pasal 3 diubah sehingga berbunyi sebagai
berikut:"
Pasal 8A,"Cukup jelas.
Angka 7"
"Pasal 23 ayat (1) huruf c, Administrator berwenang","untuk mendapatkaa laporan atau penjelasan dari
Badan Usaha dan/ atau Pelaku Usaha mengenai
kegiatannya.
18. Di antara Pasal 24 dan Pasal 25 disisipkan 3 (tiga) pasaI,
yakni Pasal 24A, Pasal 248, dan Pasal 24C sehingga
berbunyi sebagai berikut:"
Pasal 24C,"Ayat (1)
Yang dimaksud dengan ""pola pengelolaan keuangan
Badan Layanan Umum"" adalah pola pengelolaan
keuangan yang memberikan fleksibilitas berupa
keleluasaan untuk menerapkan praktik-praktik bisnis
yang sehat untuk meningkatkan pelayanan kepada
masyarakat dalam rangka memajukan kesejahteraan
umum dan mencerdaskan kehidupan bangsa.
Ayat (2)
Cukup jelas.
SK No 097185 AAngka19...
PRESIDEN
REPUBLIK INDONESIA
-361 -
Angka 19"
Pasal 10 huruf a bertugas:,"a. membangun dan mengembangkan prasarana
dan sarana di dalam KEK;
b. menyelenggarakan pengelolaan pelayanan
prasarana dan sarana kepada Pelaku Usaha;
dan
SK No l373l0Ac. menyelenggarakan . . .
PRESTDEN
REPUBLIK INDONESIA
-690-
c. menyelenggarakan promosi.
(2) Penyelenggaraan promosi sebagaimana dimaksud
pada ayat (1) huruf c dapat dilakukan secara
terpadu dengan promosi yang dilaksanakan oleh
kementerian/ lembaga pemerintah nonkementerian
dan/ atau Pemerintah Daerah terkait.
21. Ketentuan Pasal 27 diubal: sehingga berbunyi sebagai
berikut:
Pasal2T
(1) Di dalam KEK berlaku ketentuan larangan impor
dan ekspor yang diatur berdasarkan ketentuan
peraturan perundang-undangan.
(21 Terhadap impor barang ke KEK belum
diberlakukan ketentuan pembatasan.
(3) Bagi barang yang membahayakan kesehatan,
keselamatan, keamanan, dan/atau lingkungan
dapat dikenai pembatasan apabila barang
dimaksud bukan merupakan bahan baku bagi
kegiatan usaha dan institusi teknis terkait secara
khusus memberlakukan ketentuan pembatasan di
KEK.
(41 Pelaksanaan ketentuan mengenai impor dan
ekspor dilakukan melalui sistem elektronik yang
terintegrasi secara nasional.
(5) Pemerintah Pusat mengembangk€rn sistem
elektronik yang terintegrasi secara nasional
sebagaimana dimaksud pada ayat (4).
22. Ketentuan Pasal 30 diubah sehingga berbunyi sebagai
berikut:"
"Pasal 36, Pasal 37, Pasal 38, Pasal 38A, dan Pasal","39, Badan Usaha dan Pelaku Usaha di KEK
berdasarkan Undang-Undang ini, Pemerintah
Pusat dapat memberikan fasilitas dan kemudahan
lain.
(21 Ketentuan mengenai bentuk fasilitas dan
kemudahan lain sebagaimana dimaksud pada ayat
(1) diatur dalam Peraturan Pemerintah.
32. Ketentuan Pasal 41 diubah sehingga berbunyi sebagai
berikut:"
Pasal 152,Angka 1
Pasal 154,"Ayat (1)
Dalam melakukan investasi, pemerintah melakukan pengelolaan
dan penempatan sejumlah dana danlatanu aset untuk
memperoleh manfaat ekonomi, sosial, dan/ atau manfaat lainnya.
Ayat (21
Cukup jelas.
Ayat (3)
Cukup jelas.
Ayat (a)
Hurufa
Cukup jelas.
Hurufb
Yang dimaksud dengan ""kegiatan pengelolaan aset"" adalah
antara lain kegiatan akuisisi, pengelolaan, restrukturisasi
perusahaan (saham) maupun aset tetap, divestasi, dan lain-
lain yang dilakukan secara langsung maupun secara tidak
langsung baik dilakukan sendiri atau melalui kerja sama
dengan pihak ketiga atau melalui pembentukan entitas
khusus baik berbentuk badan hukum Indonesia maupun
badan hukum asing.
Huruf c
Dalam melakukan kerja sama dengan entitas dana
perwalian (trust fundl, penyedia dana (sefflor') harus
memberikan kuasa kepada entitas dana perwalian (tntst
fundl dalam rangka melakukan pengelolaan investasi
dengan Lembaga.
Huruf d . ..
SK No 097191A
PRESIDEN
REPUELIK INDONESIA
-367-
Huruf d
Huruf e
Cukup jelas.
Huruf f
Cukup jelas.Yang dimaksud dengan ""menentukan calon mitra investasi""
adalah menunjuk mitra secara langsung dengan
pertimbangan antara lain mengikuti praktik bisnis yang
berlaku secara internasional dan dalam rangka percepatan
proses penentuan calon mitra, dengan tetap menjaga tata
kelola yang baik. Kriteria bagi calon mitra yang dapat
dipertimbangkan antara lain memiliki reputasi baik,
memiliki kemampuan keuangan untuk dapat menunjang
komitmen investasinya, dan/ atau memiliki keahlian di
bidang investasi yang akan dikerjasamakan."
Pasal 158 . . .,"SK No 137326A
PRESIDEN
REPUELIK INDONESIA
-706-"
Pasal 158 ayat (1);,"b. hasil pengembangan usaha dan pengembangan
aset Lembaga;
c. pemindahtanganan aset negara atau aset badan
usaha milik negara;
SK No 137328 Ad. hibah. . .
PRESIDEN
REPUBLIK INDONESIA
-704-
d. hibah; dan/atau
e. sumber lain yang sah.
(2) Aset Lembaga dapat dijaminkan dalam rangka
penarikan pinjaman.
(3) Pihak manapun dilarang melakukan penyitaan aset
kmbaga, kecuali atas aset yang telah dijaminkan dalam
rangka pinjaman.
(41 Pengelolaan aset Lembaga sepenuhnya dilakukan oleh
organ Lembaga berdasarkan prinsip tata kelola yang
baik, akuntabel, dan transparan."
